epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,921.47,1.38615,2.78612,1.49088,0.63926,0.31697,0.37168,0.16736,1.82553,2.45377,1.80255,0.00023654,0.00023654,0.00023654
2,2690.09,1.31414,1.85621,1.45333,0.5847,0.42731,0.45443,0.20533,1.85816,2.19517,1.86674,0.000465144,0.000465144,0.000465144
3,3340.28,1.26975,1.70997,1.42505,0.59367,0.44451,0.47037,0.21089,1.86556,2.14126,1.86221,0.000684323,0.000684323,0.000684323
4,4006.75,1.24326,1.59973,1.39884,0.65937,0.52091,0.53264,0.24275,1.86902,2.06647,1.88499,0.000671588,0.000671588,0.000671588
5,4663.92,1.20891,1.53107,1.36979,0.64283,0.45046,0.50745,0.2124,1.99698,1.93807,2.0069,0.000657451,0.000657451,0.000657451
6,5312.93,1.18932,1.45556,1.35637,0.7064,0.5429,0.59429,0.27968,1.83342,1.70922,1.82607,0.000643314,0.000643314,0.000643314
7,5963.4,1.17793,1.41315,1.34415,0.65623,0.52739,0.56085,0.27049,1.75102,1.69269,1.74484,0.000629177,0.000629177,0.000629177
8,6610.17,1.14921,1.35775,1.32429,0.73037,0.51032,0.57115,0.25859,1.85774,1.67678,1.82628,0.00061504,0.00061504,0.00061504
9,7248.24,1.14858,1.32615,1.32139,0.66379,0.57261,0.59336,0.29872,1.7017,1.613,1.70492,0.000600902,0.000600902,0.000600902
10,7889.38,1.1231,1.27741,1.30249,0.73979,0.56777,0.61313,0.28558,1.83061,1.53444,1.76238,0.000586765,0.000586765,0.000586765
11,8528.45,1.1073,1.23777,1.29194,0.72597,0.57742,0.6307,0.31509,1.68664,1.48339,1.65479,0.000572628,0.000572628,0.000572628
12,9170.06,1.10716,1.22874,1.2864,0.73177,0.59769,0.64957,0.3175,1.74511,1.43017,1.7119,0.000558491,0.000558491,0.000558491
13,9809.5,1.0856,1.20611,1.27614,0.78367,0.5778,0.65462,0.34658,1.62712,1.39104,1.62409,0.000544354,0.000544354,0.000544354
14,10450.1,1.08922,1.17256,1.27221,0.73799,0.59906,0.65283,0.31976,1.73484,1.41567,1.7154,0.000530216,0.000530216,0.000530216
15,11096.3,1.0756,1.14929,1.25768,0.82109,0.60241,0.67792,0.35282,1.6679,1.31195,1.65731,0.000516079,0.000516079,0.000516079
16,11745.8,1.05411,1.11206,1.24527,0.7777,0.57737,0.66814,0.34059,1.68881,1.3018,1.68515,0.000501942,0.000501942,0.000501942
17,12391.8,1.05075,1.08882,1.24093,0.76615,0.59515,0.6661,0.32409,1.76902,1.3373,1.74172,0.000487805,0.000487805,0.000487805
18,13038,1.03864,1.08605,1.24131,0.81434,0.62805,0.69041,0.35157,1.70597,1.25969,1.67563,0.000473668,0.000473668,0.000473668
19,13685.5,1.03174,1.05426,1.2305,0.83127,0.6028,0.6773,0.36169,1.60268,1.24595,1.61789,0.00045953,0.00045953,0.00045953
20,14337.3,1.037,1.05697,1.23323,0.78503,0.64939,0.69112,0.37401,1.56538,1.20174,1.60571,0.000445393,0.000445393,0.000445393
21,14983.9,1.0173,1.01938,1.21811,0.81596,0.63891,0.70478,0.37665,1.64584,1.17718,1.63781,0.000431256,0.000431256,0.000431256
22,15628.5,1.01371,1.0009,1.21608,0.78612,0.64257,0.69594,0.37275,1.64369,1.18537,1.62196,0.000417119,0.000417119,0.000417119
23,16271,1.00025,0.98813,1.20538,0.79208,0.65447,0.7096,0.36901,1.69556,1.14855,1.72734,0.000402982,0.000402982,0.000402982
24,16914.1,0.98886,0.97204,1.20241,0.85852,0.61471,0.70486,0.39426,1.58504,1.12128,1.60563,0.000388844,0.000388844,0.000388844
25,17554,0.98069,0.96161,1.19958,0.83924,0.64979,0.72157,0.3986,1.56076,1.11633,1.58974,0.000374707,0.000374707,0.000374707
26,18195.5,0.97868,0.95135,1.19354,0.84598,0.63977,0.7196,0.42399,1.46521,1.06708,1.50242,0.00036057,0.00036057,0.00036057
27,18834.8,0.97524,0.94103,1.18671,0.85697,0.63647,0.71623,0.38933,1.59147,1.11171,1.57559,0.000346433,0.000346433,0.000346433
28,19474.4,0.96645,0.9333,1.1871,0.8469,0.62796,0.70731,0.39945,1.56965,1.09959,1.57246,0.000332296,0.000332296,0.000332296
29,20115.4,0.96262,0.92664,1.1842,0.84567,0.64129,0.7148,0.40723,1.48551,1.06793,1.53196,0.000318158,0.000318158,0.000318158
30,20757.3,0.95597,0.90455,1.17805,0.86799,0.65855,0.73417,0.40769,1.55576,1.06501,1.56996,0.000304021,0.000304021,0.000304021
31,21399.7,0.94959,0.88691,1.17111,0.84604,0.65843,0.73765,0.41514,1.55093,1.02516,1.56712,0.000289884,0.000289884,0.000289884
32,22041.5,0.93247,0.87298,1.1654,0.83331,0.67205,0.73369,0.43729,1.44092,1.00275,1.48992,0.000275747,0.000275747,0.000275747
33,22682.6,0.93059,0.85989,1.15574,0.84354,0.66862,0.74257,0.40403,1.57298,1.02134,1.60665,0.00026161,0.00026161,0.00026161
34,23322.4,0.91622,0.8504,1.15036,0.88211,0.6541,0.74419,0.42367,1.52115,1.02128,1.57132,0.000247472,0.000247472,0.000247472
35,23964.2,0.91948,0.85032,1.15298,0.85359,0.68312,0.74717,0.43416,1.45167,0.98201,1.50383,0.000233335,0.000233335,0.000233335
36,24603.5,0.91338,0.83397,1.14755,0.85427,0.66087,0.73992,0.44157,1.42651,0.98679,1.46794,0.000219198,0.000219198,0.000219198
37,25244.1,0.91134,0.84381,1.14786,0.87347,0.64822,0.73975,0.44593,1.43362,0.99601,1.48739,0.000205061,0.000205061,0.000205061
38,25884.2,0.90628,0.82889,1.14369,0.8576,0.67636,0.73716,0.43728,1.46802,0.97142,1.5262,0.000190924,0.000190924,0.000190924
39,26527.9,0.89458,0.82251,1.13653,0.86634,0.66172,0.74792,0.43994,1.47355,0.97335,1.51133,0.000176786,0.000176786,0.000176786
40,27169.6,0.89031,0.81046,1.13396,0.88802,0.65636,0.74678,0.45531,1.39282,0.96043,1.45481,0.000162649,0.000162649,0.000162649
41,27794.5,0.92426,0.75754,1.15424,0.87787,0.6739,0.74623,0.44585,1.45773,0.95345,1.50162,0.000148512,0.000148512,0.000148512
42,28420.5,0.89548,0.71256,1.13448,0.87849,0.678,0.75703,0.45485,1.43622,0.94242,1.49116,0.000134375,0.000134375,0.000134375
43,29109.6,0.88476,0.70135,1.12798,0.89687,0.68912,0.75663,0.44752,1.46296,0.92842,1.5087,0.000120238,0.000120238,0.000120238
44,32671.8,0.8748,0.69542,1.12016,0.89264,0.68395,0.75997,0.46871,1.39383,0.91706,1.4435,0.0001061,0.0001061,0.0001061
45,33300.5,0.87058,0.68469,1.11769,0.90475,0.67966,0.76861,0.45986,1.4035,0.91629,1.46298,9.19632e-05,9.19632e-05,9.19632e-05
46,33929.1,0.86738,0.67952,1.1189,0.90685,0.67695,0.76749,0.47305,1.36434,0.87484,1.43718,7.7826e-05,7.7826e-05,7.7826e-05
47,34555.4,0.85256,0.66888,1.11632,0.88195,0.67989,0.76568,0.45982,1.43084,0.8996,1.47714,6.36888e-05,6.36888e-05,6.36888e-05
48,35182.1,0.84666,0.66514,1.10517,0.9055,0.68639,0.76783,0.46994,1.38188,0.88136,1.44833,4.95516e-05,4.95516e-05,4.95516e-05
49,35810.5,0.84357,0.65683,1.10275,0.88793,0.67861,0.76039,0.46926,1.36495,0.87888,1.43397,3.54144e-05,3.54144e-05,3.54144e-05
50,36442,0.83445,0.64493,1.09529,0.88964,0.68752,0.77006,0.47096,1.37805,0.8756,1.44344,2.12772e-05,2.12772e-05,2.12772e-05
